author,image,name,price
J. K. Rowling,"https://images-na.ssl-images-amazon.com/images/I/71Ih2rWClAL._AC_UL200_SR200,200_.jpg","Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",$22.48
Bill O'Reilly,"https://images-na.ssl-images-amazon.com/images/I/91HIuXoeI6L._AC_UL200_SR200,200_.jpg",Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),$15.00
Jimmy Fallon,"https://images-na.ssl-images-amazon.com/images/I/91B0nTGLBbL._AC_UL200_SR200,200_.jpg",5 More Sleeps ‘til Christmas,$15.38
Jerry Seinfeld,"https://images-na.ssl-images-amazon.com/images/I/71-vq485c0L._AC_UL200_SR200,200_.jpg",Is This Anything?,$17.50
M.D. Whalen,"https://images-na.ssl-images-amazon.com/images/I/71Jx162N1AL._AC_UL200_SR200,200_.jpg","The Fantastic Flatulent Fart Brothers' Big Book of Farty Facts: An Illustrated Guide to the Science, History, and Art of Farting (Humorous reference ... Fart Brothers’ Fun Facts) (Volume 1)",$7.99
Christian Art Gifts,"https://images-na.ssl-images-amazon.com/images/I/71BTRA7-1mL._AC_UL200_SR200,200_.jpg",Promises From God for Women Cards - A Box of Blessings,$4.99
Bill Martin Jr.,"https://images-na.ssl-images-amazon.com/images/I/81EVdWdmOKL._AC_UL200_SR200,200_.jpg","Brown Bear, Brown Bear, What Do You See?",$5.67
Kobe Bryant,"https://images-na.ssl-images-amazon.com/images/I/81qy7sYwR6L._AC_UL200_SR200,200_.jpg",The Mamba Mentality: How I Play,$13.51
Anna Dewdney,"https://images-na.ssl-images-amazon.com/images/I/91M4Eew0juL._AC_UL200_SR200,200_.jpg",Llama Llama Loves Camping,$2.89
Alli Koch,"https://images-na.ssl-images-amazon.com/images/I/81sUtGsGQSL._AC_UL200_SR200,200_.jpg",All the Things: How to Draw Books for Kids,$11.71
Roger Price,"https://images-na.ssl-images-amazon.com/images/I/81LZT7ZWdkL._AC_UL200_SR200,200_.jpg",Christmas Fun Mad Libs: Stocking Stuffer Mad Libs,$4.99
Bill Martin Jr.,"https://images-na.ssl-images-amazon.com/images/I/91UvdebBM-L._AC_UL200_SR200,200_.jpg",Chicka Chicka Boom Boom (Board Book),$4.59
Rupi Kaur,"https://images-na.ssl-images-amazon.com/images/I/71cA1NMiI5L._AC_UL200_SR200,200_.jpg",Home Body,$10.19
Running Press,"https://images-na.ssl-images-amazon.com/images/I/61%2B2JbxEuYL._AC_UL200_SR200,200_.jpg",Desktop Boxing: Knock Out Your Stress! (RP Minis),$8.81
Maureen Wright,"https://images-na.ssl-images-amazon.com/images/I/81AH9EgAUkL._AC_UL200_SR200,200_.jpg",Sneezy the Snowman,$4.79
Nicholas Sparks,"https://images-na.ssl-images-amazon.com/images/I/91JRZQT3GML._AC_UL200_SR200,200_.jpg",The Return,$19.60
Cindy Elsharouni,"https://images-na.ssl-images-amazon.com/images/I/81SLittVveL._AC_UL200_SR200,200_.jpg","Adult Coloring Book : Stress Relieving Designs Animals, Mandalas, Flowers, Paisley Patterns And So Much More: Coloring Book For Adults",$6.20
Alex Fleming,"https://images-na.ssl-images-amazon.com/images/I/914tGfZTY-L._AC_UL200_SR200,200_.jpg",50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,$5.99
Joanna Gaines,"https://images-na.ssl-images-amazon.com/images/I/81PxN0B7CmL._AC_UL200_SR200,200_.jpg",Magnolia Table,$16.59
author,image,name,price
Barack Obama,"https://images-na.ssl-images-amazon.com/images/I/91uwocAMtSL._AC_UL200_SR200,200_.jpg",A Promised Land,$17.99
Crazy Corey,"https://images-na.ssl-images-amazon.com/images/I/71ZP2CXERjL._AC_UL200_SR200,200_.jpg",The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,$4.89
Conor Riordan,"https://images-na.ssl-images-amazon.com/images/I/81X%2Bum3qGrL._AC_UL200_SR200,200_.jpg",Wacky Waving Inflatable Tube Guy (RP Minis),$7.82
Ann Whitford Paul,"https://images-na.ssl-images-amazon.com/images/I/817T4J3dzhL._AC_UL200_SR200,200_.jpg",If Animals Kissed Good Night,$4.79
Rachel Maddow,"https://images-na.ssl-images-amazon.com/images/I/81LtoDMFyeL._AC_UL200_SR200,200_.jpg","Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House",$17.65
Bill O'Neill,"https://images-na.ssl-images-amazon.com/images/I/71EEdvsvd1L._AC_UL200_SR200,200_.jpg","Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of",$11.81
Jeff Kinney,"https://images-na.ssl-images-amazon.com/images/I/71Ks%2B8mKq2L._AC_UL200_SR200,200_.jpg",The Deep End (Diary of a Wimpy Kid Book 15),$7.38
Dinah Bucholz,"https://images-na.ssl-images-amazon.com/images/I/91imiYtCBTL._AC_UL200_SR200,200_.jpg",The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),$5.96
Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/I/610O4MLOT2L._AC_UL200_SR200,200_.jpg",Greenlights,$18.71
M Prefontaine,"https://images-na.ssl-images-amazon.com/images/I/812F2oVcq5L._AC_UL200_SR200,200_.jpg",Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),$5.48
Ernest Cline,"https://images-na.ssl-images-amazon.com/images/I/811W9hHXiwL._AC_UL200_SR200,200_.jpg",Ready Player Two: A Novel,$15.82
Gag Gifts For Good Causes,"https://images-na.ssl-images-amazon.com/images/I/61jtjthYPdL._AC_UL200_SR200,200_.jpg",2021 Pooping Pooches White Elephant Gag Gift Calendar,$16.99
Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/71c1LRLBTBL._AC_UL200_SR200,200_.jpg",Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),$6.49
Hopscotch Girls,"https://images-na.ssl-images-amazon.com/images/I/71AIzioFxTL._AC_UL200_SR200,200_.jpg","I Am Confident, Brave & Beautiful: A Coloring Book for Girls",$8.22
Ina Garten,"https://images-na.ssl-images-amazon.com/images/I/81CTXWG01OL._AC_UL200_SR200,200_.jpg",Modern Comfort Food: A Barefoot Contessa Cookbook,$21.00
America's Test Kitchen Kids,"https://images-na.ssl-images-amazon.com/images/I/91mEDmiAioL._AC_UL200_SR200,200_.jpg",The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,$10.25
Bob Ross,"https://images-na.ssl-images-amazon.com/images/I/615SY61-25L._AC_UL200_SR200,200_.jpg",Bob Ross Bobblehead: With Sound! (RP Minis),$6.85
Adam Wallace,"https://images-na.ssl-images-amazon.com/images/I/717W6A80aVL._AC_UL200_SR200,200_.jpg",How to Catch a Unicorn,$1.99
Michelle Obama,"https://images-na.ssl-images-amazon.com/images/I/81h2gWPTYJL._AC_UL200_SR200,200_.jpg",Becoming,$4.34
Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/810Ukmf7bSL._AC_UL200_SR200,200_.jpg",Cat Kid Comic Club: From the Creator of Dog Man,$8.27
Dr. Seuss,"https://images-na.ssl-images-amazon.com/images/I/91Q9eneR7BL._AC_UL200_SR200,200_.jpg",How the Grinch Stole Christmas! (Classic Seuss),$3.07
Amelia Hepworth,"https://images-na.ssl-images-amazon.com/images/I/81eB%2B7%2BCkUL._AC_UL200_SR200,200_.jpg",I Love You to the Moon and Back,$2.00
,"https://images-na.ssl-images-amazon.com/images/I/61ayWgDYK7L._AC_UL200_SR200,200_.jpg",The Screaming Goat (Book & Figure),$9.67
Workman Publishing,"https://images-na.ssl-images-amazon.com/images/I/81GIvo3b02L._AC_UL200_SR200,200_.jpg",Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,$5.90
Adam Wallace,"https://images-na.ssl-images-amazon.com/images/I/81Zj4ibm%2BhL._AC_UL200_SR200,200_.jpg",How to Catch a Mermaid,$3.99
Catherine V Holmes,"https://images-na.ssl-images-amazon.com/images/I/716XQmymAnL._AC_UL200_SR200,200_.jpg",How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,$12.57
Shannon Roberts,"https://images-na.ssl-images-amazon.com/images/I/81Cf61prqrL._AC_UL200_SR200,200_.jpg","Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",$9.86
